histid_1940,birthyr_son,statefip_1940,countyicp_1940,educd_1940,lit_son,empstatd_1940,labforce_1940,occ_son,macro_son,meso_son,urban_1900,urban_1910,urban_1920,urban_1930,urban_1940,wkswork1_1940,histid_pop_1900,histid_pop_1910,histid_pop_1920,histid_pop_1930,histid_pop_1940,birthyr_pop,birthyr_spread,spread_mad,spread_flag,attachment_level_son,attachment_level_pop,statefip_pop_1900,statefip_pop_1910,statefip_pop_1920,statefip_pop_1930,statefip_pop_1940,countyicp_pop_1900,countyicp_pop_1910,countyicp_pop_1920,countyicp_pop_1930,countyicp_pop_1940,educd_pop_1940,lit_pop,empstatd_pop_1910,empstatd_pop_1930,empstatd_pop_1940,labforce_pop_1910,labforce_pop_1920,labforce_pop_1930,labforce_pop_1940,urban_pop_1900,urban_pop_1910,urban_pop_1920,urban_pop_1930,urban_pop_1940,wkswork1_pop_1940,occ_pop,occ_pop_attach,picked_year_attach,meso_pop,macro_pop,meso_pop_attach,macro_pop_attach,w_parent_flag_1900,w_parent_flag_1910,w_parent_flag_1920,w_parent_flag_1930,w_parent_flag_1940
25B8852D-9F50-4478-BC6E-14FBB67D3C6B,1914,40,1210,80,4,10,2,93,nonmanual,nonmanual,NA,NA,NA,1,1,34,NA,NA,NA,3CF224E8-96FB-4DF5-8050-D8884EC2E234,D1124FDC-A7E9-4DF2-ACF2-347CE581C5CB,1892,0,0,FALSE,NA,NA,NA,NA,NA,40,40,NA,NA,NA,1210,1210,26,4,NA,10,10,NA,NA,2,2,NA,NA,NA,1,1,52,100,100,1930,farmer,farming,farmer,farming,0,0,0,1,1
25BA3C3C-9242-45F2-A3FA-6729159F7F3D,1906,38,850,14,4,10,2,970,manual,unskilled,NA,NA,1,1,1,52,NA,NA,4550B7EB-4940-4906-81D1-577A185AE4BF,NA,NA,1883,0,0,FALSE,NA,NA,NA,NA,38,NA,NA,NA,NA,850,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,100,100,1920,farmer,farming,farmer,farming,0,0,1,0,0
25BBAD38-F50B-4135-80C8-F4B905A80AE1,1915,30,50,30,4,34,1,970,manual,unskilled,NA,NA,1,1,1,52,NA,NA,B80FEF0F-1C07-4D7D-8EC0-7A086FAB9913,052094CB-F950-4E53-9B9A-A36AA93EF28F,071378E6-0939-4E01-8D8D-94509C2AA29D,1873,1,0,FALSE,4,NA,NA,NA,30,30,30,NA,NA,50,50,50,23,4,NA,10,34,NA,2,2,1,NA,NA,1,1,1,0,820,100,1930,farmworker,farming,farmer,farming,0,0,1,1,1
25BC4B66-6613-4D46-A5B8-F27580C68F26,1910,35,310,2,NA,21,2,830,farming,farmworker,NA,NA,NA,NA,1,0,NA,NA,NA,NA,25D7C1A0-DAE3-456B-8815-06FB4F339B68,1888,0,0,FALSE,1,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,310,2,NA,NA,NA,30,NA,NA,NA,1,NA,NA,NA,NA,1,0,999,999,1940,nilf,nilf,nilf,nilf,0,0,0,0,1
25C5AD95-79FF-42C3-BA05-289C7EEA1A5A,1900,4,170,16,4,10,2,100,farming,farmer,NA,NA,1,1,1,26,NA,NA,C39520EB-299D-4952-A7BB-EB6C46C9B343,NA,NA,1878,0,0,FALSE,NA,NA,NA,NA,4,NA,NA,NA,NA,170,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,100,100,1920,farmer,farming,farmer,farming,0,0,1,0,0
25C6B026-9555-4D09-98CE-4094BD3F0F77,1917,55,1130,26,4,10,2,100,farming,farmer,NA,NA,1,1,1,52,NA,NA,505AC2EC-4E44-49B5-B273-13DFA1E7FF0B,9D8BA50E-89A4-40C0-9EB4-E7C6607844A4,NA,1872,2,1,FALSE,NA,NA,NA,NA,55,55,NA,NA,NA,1130,1130,NA,NA,4,NA,10,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,100,100,1930,farmer,farming,farmer,farming,0,0,1,1,0
25C760BA-8E9E-4C09-946A-D0893F801356,1903,30,1050,26,4,11,2,683,manual,unskilled,NA,1,1,1,1,26,NA,DB84E298-C138-4463-AF01-4774201162B6,1B6BF9E7-F295-4C7F-B62A-7F556FDEEAAC,A2B20CB3-D709-4D4F-9361-E6B5D0B83EB2,NA,1872,8,4,TRUE,NA,NA,NA,30,30,30,NA,NA,1050,850,850,NA,NA,4,30,10,NA,2,2,2,NA,NA,1,1,1,NA,NA,100,979,1910,farmer,farming,nilf,nilf,0,1,1,1,0
25C8C881-5330-4804-B8AB-00748D6C769A,1919,40,910,23,NA,21,2,970,manual,unskilled,NA,NA,NA,NA,1,20,NA,NA,NA,NA,C59DA29E-6DC9-45B1-8DE3-C2E44968F994,1884,0,0,FALSE,3,1,NA,NA,NA,NA,40,NA,NA,NA,NA,910,2,NA,NA,NA,21,NA,NA,NA,2,NA,NA,NA,NA,1,10,820,820,1940,farmworker,farming,farmworker,farming,0,0,0,0,1
25CC92E6-98B0-4772-B46B-586A68D73EF5,1919,36,470,30,NA,10,2,585,manual,crafts,NA,NA,NA,NA,2,16,NA,NA,NA,NA,98C9C173-BF69-43B7-BD47-B663213956BB,1883,0,0,FALSE,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,470,26,NA,NA,NA,10,NA,NA,NA,2,NA,NA,NA,NA,2,0,999,999,1940,nilf,nilf,nilf,nilf,0,0,0,0,1
25CCAA9E-5732-4526-80D0-2213C62DEBE2,1916,35,450,2,NA,10,2,820,farming,farmworker,NA,NA,NA,NA,1,15,NA,NA,NA,NA,E1F533B7-EEAE-4E88-BCEC-D71E6FA10169,1882,0,0,FALSE,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,450,2,NA,NA,NA,10,NA,NA,NA,2,NA,NA,NA,NA,1,52,100,100,1940,farmer,farming,farmer,farming,0,0,0,0,1
25D6560D-10AA-44AA-AD61-5CABB57A76BC,1917,40,1270,30,4,11,2,690,manual,unskilled,NA,NA,1,1,1,14,NA,EF3D29FA-6746-4FB2-893E-DB96ED5A99C8,B1E4207C-4B4C-48B0-B3F1-1B4AAEB9B50B,031C22D9-ECEA-4B56-9544-C5D6F368255D,NA,1881,0,0,FALSE,NA,NA,NA,40,40,40,NA,NA,1270,1270,1270,NA,NA,4,10,10,NA,2,2,2,NA,NA,1,1,1,NA,NA,100,100,1930,farmer,farming,farmer,farming,0,0,1,1,0
25D817AC-B267-4D94-ABD6-B1FFBE27683E,1920,37,470,23,4,10,2,830,farming,farmworker,NA,NA,NA,1,1,52,NA,NA,NA,NA,E977F99B-7B91-496F-BE8B-1CD6F6EB5E86,1877,0,0,FALSE,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,470,2,NA,NA,NA,10,NA,NA,NA,2,NA,NA,NA,NA,1,52,100,100,1940,farmer,farming,farmer,farming,0,0,0,0,1
